target,Wife_Education,Husband_Education,Children,Wife_religion,Wife_working,Husband_Occupation,SOLI,Media_Exposure,Contraceptive_Method,Residual_signed,Residual,Residual_CV
42,2,2,3,1,1,3,4,0,1,7.371392857142858,54.33743265433675,0.9312250000000066
28,2,2,1,1,1,2,4,0,1,0.011666666666666714,0.0001361111111111122,3.422500000000005
28,1,1,3,1,1,3,1,0,1,-1.629999999999999,2.6568999999999967,7.5625
47,2,3,0,1,0,1,3,0,1,4.809583333333329,23.132091840277734,19.802500000000027
48,2,4,2,1,1,1,3,0,1,7.351166666666671,54.039651361111176,54.612100000000005
40,4,4,2,0,1,1,4,0,1,4.0038279220779245,16.03063802961083,1.6899999999999926
28,2,2,1,1,1,3,2,0,1,3.070333333333334,9.426946777777783,19.93622500000003
25,1,4,1,1,1,2,1,0,1,-1.6999999999999993,2.8899999999999975,11.055624999999996
32,4,4,2,1,1,2,3,0,1,1.0445555555555543,1.0910963086419727,14.938224999999989
45,4,4,0,1,1,2,4,0,1,12.013047619047619,144.31331309750567,0.0702250000000003
26,4,4,1,1,1,1,4,0,1,-6.813249960608701,46.420375025734465,0.0020250000000001534
26,4,4,0,1,0,1,4,0,1,-0.7654552669552608,0.5859217657095496,4.284900000000001
31,4,4,0,1,0,1,4,0,1,4.234544733044739,17.931369096156942,53.65562500000004
49,4,4,7,0,1,2,4,0,1,2.1174999999999997,4.483806249999999,10.304100000000005
40,3,4,8,1,1,3,3,0,1,-3.8313333333333333,14.679115111111111,40.576899999999966
34,4,4,1,0,0,2,3,0,1,2.1809999999999974,4.7567609999999885,5.616899999999988
36,2,4,5,1,1,2,3,0,1,1.0770000000000053,1.1599290000000113,7.075599999999982
20,2,2,2,1,1,2,2,1,1,-3.3066666666666684,10.934044444444456,13.912900000000004
43,4,4,5,1,0,1,4,0,1,1.8522380952381,3.4307859614512646,1.452024999999996
37,3,4,7,1,1,2,1,0,1,-0.883499999999998,0.7805722499999964,0.007225000000000145
21,2,3,0,1,1,3,4,0,1,-0.5733333333333306,0.32871111111110796,15.132100000000005
49,4,4,6,1,1,1,2,0,1,2.1483333333333405,4.615336111111142,11.022400000000001
42,3,3,10,1,1,3,3,0,1,0.016666666666658614,0.00027777777777750933,0.7310249999999947
20,2,3,1,1,1,2,3,0,1,-0.6218333333333348,0.38667669444444625,5.712100000000003
47,1,2,2,1,0,1,3,0,1,1.119499999999995,1.2532802499999889,39.81610000000003
22,2,3,1,1,1,2,1,0,1,-3.6233333333333313,13.12854444444443,4.558225000000006
27,2,4,1,1,0,1,3,0,1,-1.805500000000002,3.259830250000008,0.5625
24,2,4,1,1,1,3,1,0,1,-0.5769999999999982,0.3329289999999979,0.2601000000000016
44,4,2,8,1,1,3,3,0,1,1.1499999999999986,1.3224999999999967,1.2543999999999942
30,2,3,3,1,1,3,1,0,1,1.914083333333334,3.663715006944447,4.202499999999988
23,3,4,2,1,1,3,4,0,1,-3.744357142857144,14.020210413265314,3.0976000000000057
25,4,4,1,1,0,3,3,0,1,-6.08609523809524,37.04055524716556,4.579600000000003
47,2,3,4,1,1,2,3,0,1,3.59176190476191,12.900753580498902,2.8900000000000095
48,2,3,8,1,1,1,4,0,1,2.240000000000002,5.017600000000009,2.2650250000000076
29,2,3,1,1,1,1,1,0,1,-2.219999999999999,4.928399999999995,5.640625
29,2,3,1,1,1,1,2,0,1,-4.200000000000003,17.640000000000025,7.102224999999995
21,3,4,0,1,1,2,3,0,1,-1.1780833333333298,1.3878803402777695,0.00022500000000001704
21,3,4,1,1,1,2,3,0,1,0.012333333333334195,0.0001521111111111324,2.102499999999998
29,4,4,0,1,0,2,4,0,1,2.855100649350643,8.151599717922462,2.3256249999999956
45,3,4,3,1,1,1,4,0,1,5.233738095238095,27.392014449546487,12.285025000000019
33,2,3,2,1,1,3,2,0,1,4.508666666666663,20.32807511111108,0.26009999999999794
38,4,4,1,1,0,1,4,0,1,0.5632471139971145,0.3172473114260785,15.563025000000001
24,4,4,0,0,1,1,4,0,1,-1.468666666666664,2.15698177777777,2.640625
49,4,4,6,0,0,1,4,0,1,0.5799999999999983,0.33639999999999803,6.708100000000018
24,2,4,1,1,0,4,4,0,1,-1.2950000000000017,1.6770250000000044,5.290000000000004
28,4,4,0,0,0,1,4,0,1,-0.07166666666666544,0.005136111111110934,5.175624999999994
30,4,4,2,1,1,1,4,0,1,-4.648484931734934,21.608412160566736,2.6896000000000018
33,4,4,2,1,1,1,4,0,1,-1.6484849317349344,2.7175025701571314,7.672899999999998
25,4,4,1,1,1,1,3,0,1,-4.556968253968261,20.76595966767454,1.4280250000000008
35,4,4,3,0,1,1,4,0,1,2.805666666666667,7.871765444444447,18.31840000000001
27,2,4,4,1,1,1,4,0,1,-2.4555000000000007,6.029480250000003,4.2435999999999945
24,2,2,3,1,0,2,1,0,1,-1.5700000000000003,2.464900000000001,1.537599999999996
25,2,3,0,1,1,2,1,0,1,0.19333333333333513,0.037377777777778474,1.6512250000000004
46,2,4,6,1,1,1,4,0,1,1.0843333333333334,1.175778777777778,4.0
26,2,2,3,1,1,2,1,0,1,1.1000000000000014,1.210000000000003,36.360900000000015
38,2,2,1,1,0,3,2,0,1,-0.5285000000000011,0.27931225000000115,141.72902500000004
47,1,2,3,1,1,1,3,0,1,1.9399999999999977,3.7635999999999914,18.87902499999999
41,1,3,10,1,1,2,3,1,1,-0.5033333333333374,0.25334444444444854,1.0920250000000036
41,2,3,1,1,0,2,3,0,1,3.7653333333333308,14.177735111111092,8.409999999999991
28,4,4,5,1,1,2,1,0,1,-3.2749999999999986,10.72562499999999,17.724100000000007
17,2,2,3,1,1,3,1,0,1,-4.036666666666665,16.294677777777768,39.816099999999985
27,2,3,5,1,1,2,1,0,1,-4.270000000000003,18.232900000000026,0.45562500000000095
27,1,2,4,1,1,3,1,1,1,-2.530000000000001,6.400900000000005,0.9900250000000019
19,2,3,0,1,0,2,2,0,1,-3.780000000000001,14.288400000000008,13.87562500000001
27,2,4,3,1,0,3,2,0,1,-0.19000000000000128,0.036100000000000486,1.265625
26,4,3,4,1,1,2,3,0,1,-5.64916666666667,31.91308402777781,42.57562499999998
23,2,4,2,1,1,3,3,0,1,-4.5365,20.579832250000003,0.04410000000000036
40,3,3,3,1,1,3,2,0,1,3.0799999999999983,9.486399999999989,59.44410000000001
22,4,4,0,1,1,1,1,0,1,-1.1099999999999994,1.2320999999999986,5.290000000000004
44,3,4,4,1,0,1,3,0,1,8.0225,64.36050625000001,5.244099999999996
29,2,3,2,1,1,3,1,0,1,4.152333333333331,17.241872111111093,13.987600000000015
26,2,3,3,1,1,3,1,0,1,-2.085916666666666,4.351048340277775,6.051600000000004
45,4,4,1,1,0,3,3,0,1,13.91390476190476,193.59674572335595,0.05289999999999856
32,3,3,7,1,0,2,3,0,1,-1.9840000000000018,3.936256000000007,5.267025000000007
21,4,4,1,1,1,1,4,0,1,-11.813249960608701,139.55287463182148,3.0976000000000057
31,2,2,4,1,1,3,3,0,1,-0.2749999999999986,0.07562499999999922,9.180900000000007
21,3,4,0,1,1,1,3,0,1,-10.80368253968254,116.7195564182414,0.8556250000000013
37,4,4,1,1,1,1,4,0,1,4.186750039391299,17.528875892343045,2.0592250000000067
34,4,4,3,0,0,3,3,0,1,0.030000000000001137,0.0009000000000000682,0.33639999999999803
44,3,4,1,1,1,1,3,0,1,3.5091071428571468,12.313832940051048,14.250624999999989
49,4,3,5,1,1,2,3,0,1,5.493333333333332,30.1767111111111,15.96002499999998
26,2,3,2,1,1,3,3,0,1,-1.007833333333327,1.015728027777765,0.8372249999999984
38,1,2,1,1,1,2,4,1,1,-0.45142857142857196,0.20378775510204128,30.63622499999996
36,2,3,5,1,1,2,3,0,1,-1.0216666666666683,1.043802777777781,5.152900000000014
26,3,4,2,1,1,3,3,0,1,1.1002976190476232,1.2106548504818686,15.093225000000013
20,2,3,1,0,1,3,2,0,1,-4.289666666666665,18.4012401111111,10.465224999999997
44,2,1,3,1,0,3,2,0,1,5.469999999999999,29.92089999999999,0.39690000000000325
31,3,4,2,1,1,1,2,1,1,-1.384999999999998,1.9182249999999945,26.31689999999999
45,4,4,1,1,1,1,3,0,1,15.443031746031739,238.4872295089441,3.0625
36,2,3,2,1,1,3,2,1,1,1.6433333333333309,2.700544444444436,38.626225
43,1,3,2,1,0,2,2,1,1,2.9299999999999997,8.584899999999998,3.515625
25,3,4,0,1,1,1,3,0,1,-6.803682539682541,46.290096100781064,1.1235999999999973
48,3,4,3,1,1,3,1,0,1,6.194285714285705,38.369175510203966,111.19702500000004
30,4,4,0,0,0,1,3,0,1,0.4391666666666687,0.1928673611111129,4.1820250000000065
48,1,2,8,1,1,3,1,0,1,1.6499999999999986,2.7224999999999953,5.640625
28,3,4,1,1,1,3,1,1,1,2.2399999999999984,5.017599999999993,0.9120249999999968
26,4,4,1,1,1,1,3,0,1,-3.556968253968261,12.65202315973802,0.5041000000000012
26,3,3,3,1,0,2,4,0,1,-6.484151515151524,42.0442208714418,0.005624999999999893
24,4,4,2,1,1,3,3,0,1,-5.5872500000000045,31.21736256250005,4.368099999999999
21,3,3,2,1,1,2,2,0,1,-1.496333333333336,2.2390134444444523,0.006399999999999727
30,4,4,2,0,1,3,1,0,1,-0.6799999999999997,0.4623999999999996,5.405624999999997
20,4,4,1,1,1,1,4,0,1,-12.813249960608701,164.17937455303888,5.130225000000003
33,4,4,2,1,1,1,3,0,1,5.943573953823947,35.32607134457442,30.30502500000003
30,4,4,0,0,0,3,3,0,1,-1.5180000000000007,2.304324000000002,27.196225
47,4,4,1,1,0,1,3,0,1,14.827587301587293,219.85734518619276,2.772224999999997
35,4,4,2,0,1,3,3,0,1,1.3449999999999989,1.809024999999997,2.3715999999999973
30,2,4,2,1,1,3,4,0,1,-1.58792857142857,2.5215171479591794,17.22249999999999
33,4,4,3,1,1,1,4,0,1,0.1673558941059028,0.028007995291986148,27.510024999999974
45,4,4,4,1,1,2,3,0,1,5.469250000000002,29.912695562500026,3.459599999999998
41,4,4,2,1,1,1,4,0,1,6.351515068265066,40.34174366239818,2.5122250000000026
32,4,4,1,1,0,1,3,0,1,-0.1724126984127068,0.029726138573950987,20.52090000000001
43,4,4,5,1,1,1,4,0,1,4.306777777777775,18.54833482716047,17.85062500000001
44,4,4,3,1,1,2,4,0,1,-0.6483333333333405,0.42033611111112046,74.30439999999996
21,1,3,4,1,1,3,2,0,1,-7.743333333333336,59.95921111111115,24.157224999999993
44,3,4,2,1,1,1,4,1,1,4.786666666666662,22.912177777777732,4.264224999999991
23,4,4,2,1,1,2,4,0,1,-4.175817460317461,17.43745146189217,9.241599999999995
47,1,2,4,1,1,2,2,0,1,2.106666666666662,4.438044444444425,13.140625
47,1,1,7,1,1,2,3,1,1,1.9399999999999977,3.7635999999999914,0.09922499999999856
35,4,4,2,1,0,2,4,0,1,1.4229523809523812,2.0247934784580504,0.9603999999999939
32,2,4,4,1,1,3,2,0,1,2.219999999999999,4.928399999999995,45.76522500000001
45,1,4,5,1,1,1,2,1,1,3.2049999999999983,10.272024999999989,0.22562500000000135
22,2,2,2,1,1,3,1,0,1,-2.72025,7.3997600625,0.17640000000000144
23,1,1,3,1,1,2,1,1,1,-7.34,53.8756,1.2768999999999977
30,4,4,0,1,0,1,4,0,1,3.234544733044739,10.462279630067464,0.2652250000000006
44,1,3,0,1,1,2,3,0,1,2.270000000000003,5.152900000000014,10.72562499999999
40,3,3,1,1,0,3,3,0,1,5.457999999999998,29.789763999999984,0.4970249999999976
34,4,4,4,1,1,2,3,0,1,-5.530749999999998,30.589195562499974,32.205625000000005
37,3,4,1,1,1,2,4,0,1,2.661393939393939,7.083017700642789,102.41440000000001
49,3,4,5,1,1,1,4,0,1,10.145499999999991,102.93117024999982,6.553600000000012
26,4,4,1,1,1,1,4,0,1,-6.813249960608701,46.420375025734465,0.0030249999999999687
22,4,4,0,1,1,2,4,0,1,-10.986952380952381,120.7131226213152,0.05062500000000064
20,3,4,0,1,0,2,4,0,1,-1.887666666666668,3.5632854444444493,10.304100000000005
47,4,4,4,1,1,1,4,0,1,8.696702380952367,75.63263230286256,2.2350249999999923
49,2,2,8,1,0,3,1,0,1,3.3200000000000003,11.022400000000001,7.896100000000013
22,2,4,1,1,1,2,4,0,1,-3.013333333333332,9.080177777777768,0.342225000000001
22,3,3,2,1,1,3,4,0,1,-2.6668333333333294,7.112000027777757,5.499024999999994
25,3,2,2,1,1,3,2,0,1,0.9149999999999991,0.8372249999999984,5.522500000000007
32,2,4,0,1,0,3,4,0,1,1.9574999999999996,3.8318062499999983,0.0702250000000003
28,4,4,0,0,1,1,3,0,1,0.9750000000000014,0.9506250000000027,3.5910249999999984
30,2,4,4,1,0,1,4,0,1,-1.9294999999999973,3.7229702499999897,0.30802499999999966
45,2,4,2,1,0,2,4,0,1,5.996928571428569,35.963152290816296,30.030399999999965
49,2,1,10,1,0,2,4,0,1,4.420000000000002,19.536400000000015,4.389024999999995
34,4,4,2,1,0,1,4,0,1,0.42183333333333906,0.17794336111111594,0.02890000000000058
25,2,4,1,1,1,2,2,0,1,0.5303333333333384,0.28125344444444983,0.20702499999999846
42,1,3,12,1,1,3,3,0,1,-0.2680000000000007,0.07182400000000036,0.022499999999999572
48,2,1,3,1,0,4,3,0,1,6.079999999999998,36.96639999999998,36.0
35,3,4,5,1,0,2,2,0,1,-1.5375000000000014,2.3639062500000043,11.55999999999999
33,2,3,1,1,1,3,4,0,1,7.154999999999994,51.19402499999991,72.42009999999996
20,2,4,0,1,1,3,2,0,1,-1.7300000000000004,2.9929000000000014,2.4999999999990054e-05
36,2,3,4,1,1,3,1,1,1,1.8733333333333277,3.509377777777757,1.452024999999996
19,3,3,2,1,1,3,2,0,1,-1.5283333333333289,2.335802777777764,7.155625000000004
27,3,2,3,1,1,3,2,0,1,-2.0,4.0,5.359225000000006
30,1,2,4,1,1,4,1,0,1,-1.4600000000000009,2.1316000000000024,0.0420249999999993
31,3,4,3,1,0,3,2,0,1,-0.030000000000001137,0.0009000000000000682,3.8612249999999992
44,1,1,11,1,1,4,1,1,1,-0.7100000000000009,0.5041000000000012,5.616899999999988
24,3,3,2,1,1,3,3,0,1,0.5762142857142827,0.332022903061221,9.610000000000008
18,3,4,0,1,0,3,1,0,1,-3.318892857142856,11.015049797193871,21.34440000000001
45,1,2,6,1,1,3,3,1,1,1.5799999999999983,2.4963999999999946,0.05522499999999973
25,2,2,3,1,0,3,1,0,1,-0.25,0.0625,8.673025
36,3,4,6,1,1,2,4,0,1,-4.018000000000001,16.144324000000005,4.995224999999998
30,1,1,5,1,1,2,2,0,1,-6.149999999999999,37.822499999999984,7.3441000000000045
32,2,4,2,1,1,3,3,0,1,4.4635,19.92283225,21.715599999999966
42,1,4,11,0,1,2,2,1,1,-0.2700000000000031,0.07290000000000169,0.42249999999999815
22,2,4,0,1,1,3,3,0,1,-2.798333333333332,7.830669444444437,0.42249999999999815
36,2,4,2,1,0,2,4,0,1,-3.003071428571431,9.018438005102055,114.70410000000003
27,2,3,2,1,1,3,3,0,1,-0.00783333333332692,6.136111111101062e-05,2.1316000000000024
40,3,4,1,1,1,1,2,0,1,2.117916666666666,4.485571006944442,167.96160000000003
22,2,3,2,1,1,3,1,0,1,-2.847666666666669,8.109205444444456,0.07840000000000064
26,2,4,0,1,1,3,1,0,1,-0.5946666666666616,0.35362844444443836,12.42562499999999
31,3,4,0,1,0,2,3,0,1,3.882833333333327,15.076394694444394,32.03559999999996
32,4,4,1,1,1,1,4,0,1,-0.8132499606087009,0.6613754984300536,44.6224
34,2,3,3,1,0,3,2,0,1,2.6473333333333358,7.00837377777779,2.3409000000000035
40,3,3,1,0,1,3,4,0,1,2.496166666666653,6.23084802777771,0.4290250000000015
45,1,2,1,1,0,3,3,0,1,5.369999999999997,28.83689999999997,2.3256249999999956
26,3,4,3,1,1,3,2,0,1,-4.783714285714286,22.88392236734694,6.150400000000002
48,1,3,5,1,1,3,2,0,1,3.1899999999999977,10.176099999999986,34.33959999999999
43,1,3,8,1,1,3,1,0,1,-1.1700000000000017,1.368900000000004,29.648025000000004
27,3,4,2,1,0,2,2,0,1,-0.17999999999999972,0.0323999999999999,2.4963999999999946
42,3,2,1,1,1,3,3,0,1,5.630666666666677,31.70440711111123,30.69159999999999
34,3,2,8,1,0,2,3,1,1,-1.7033333333333331,2.901344444444444,1.5625
32,3,2,4,1,1,2,2,1,1,-2.0799999999999983,4.3263999999999925,14.364099999999993
31,3,3,2,1,0,2,3,0,1,-0.43666666666666387,0.19067777777777534,17.305600000000002
22,2,3,1,1,1,3,3,0,1,-3.5935000000000095,12.913242250000067,7.6452250000000035
27,3,4,0,1,1,3,3,0,1,3.31625,10.9975140625,7.756225000000001
37,1,2,2,1,1,2,2,1,1,-2.210000000000001,4.884100000000004,137.241225
22,1,2,0,1,1,2,4,0,1,-5.4984285714285726,30.232716755102054,18.6624
47,4,4,4,1,1,1,4,0,1,8.696702380952367,75.63263230286256,2.2350249999999923
32,4,4,4,1,0,1,3,0,1,-2.7597380952380988,7.616154354308409,0.027224999999999718
37,3,3,2,1,1,1,4,0,1,-0.3533333333333317,0.1248444444444433,74.1321
45,1,3,1,1,1,2,3,1,1,2.1700000000000017,4.708900000000007,6.916900000000013
47,1,4,8,1,1,3,3,0,1,1.3133333333333326,1.7248444444444424,1.3806249999999933
28,3,4,0,1,1,3,2,0,1,2.0790833333333296,4.322587506944429,0.2304000000000004
48,1,3,4,1,1,3,4,1,1,3.8800000000000026,15.05440000000002,1.3806249999999933
26,2,4,1,1,1,1,3,0,1,-5.047559523809522,25.477857146400204,1.3923999999999994
21,3,4,0,1,0,3,1,0,1,-0.3188928571428562,0.10169265433673409,35.82022499999999
20,2,3,1,1,1,2,4,0,1,-0.9883333333333297,0.9768027777777707,9.302500000000004
39,1,1,5,1,0,3,1,1,1,1.6799999999999997,2.822399999999999,6.760000000000008
27,2,3,1,1,0,3,4,0,1,-0.3200000000000003,0.10240000000000019,0.00039999999999998294
37,2,3,5,1,0,3,2,0,1,0.36999999999999744,0.1368999999999981,5.808099999999984
24,4,4,1,1,1,3,3,0,1,0.8348333333333322,0.6969466944444426,10.017224999999994
39,3,3,6,1,1,3,3,0,1,6.482238095238095,42.01941072335601,47.95562499999996
20,3,3,1,1,1,2,3,0,1,-0.0346666666666664,0.0012017777777777593,7.452900000000002
19,3,4,1,1,1,2,3,0,1,-1.9876666666666658,3.9508187777777746,0.00490000000000004
40,3,3,4,1,1,2,2,0,1,1.5166666666666657,2.300277777777775,1.7424000000000008
41,1,4,4,1,1,3,3,0,1,2.5733333333333377,6.622044444444467,1.729224999999994
22,4,4,2,1,1,1,3,0,1,-5.056426046176053,25.567444360447595,9.765625
32,3,4,4,1,1,1,4,0,1,1.3469999999999978,1.814408999999994,71.99522499999999
34,4,4,2,0,1,1,4,0,1,-1.9961720779220755,3.9847029646757366,14.440000000000005
34,4,4,2,1,0,1,3,0,1,1.8777301587301451,3.525870549004736,0.23522499999999946
23,4,4,2,1,1,1,4,0,1,-11.648484931734934,135.68720120485582,0.14822500000000122
27,4,4,1,1,1,1,2,0,1,-0.9373452380952365,0.8786160953798157,3.222025000000006
46,3,2,11,1,0,2,2,1,1,1.4099999999999966,1.9880999999999904,0.01960000000000016
34,4,4,3,0,1,1,2,0,1,1.5874999999999986,2.5201562499999954,7.812025000000009
33,4,4,5,1,1,3,3,0,1,-0.0625,0.00390625,4.431024999999987
25,3,3,1,1,1,3,2,0,1,1.307619047619049,1.7098675736961488,5.880625000000004
26,4,4,1,1,0,1,4,0,1,-11.436752886002886,130.79931657549534,8.702499999999995
48,1,3,4,1,1,3,3,1,1,3.698666666666668,13.68013511111112,6.350400000000016
36,4,4,2,1,1,3,3,0,1,6.4127499999999955,41.12336256249994,0.09922499999999856
38,3,4,2,0,1,2,4,0,1,0.4025000000000034,0.16200625000000274,22.800624999999986
44,1,2,7,1,1,3,4,0,1,2.4200000000000017,5.856400000000008,2.0735999999999937
44,2,2,1,1,0,3,2,0,1,5.471499999999999,29.937312249999987,6.682225000000004
39,3,3,1,0,1,3,4,0,1,1.496166666666653,2.2385146944444037,6.969600000000003
47,1,2,7,1,0,3,2,0,1,1.8299999999999983,3.3488999999999938,0.8099999999999974
43,1,3,5,1,0,3,2,0,1,0.5900000000000034,0.348100000000004,25.351224999999964
29,3,3,3,1,0,2,4,0,1,-3.484151515151524,12.13931178053266,12.285024999999994
22,3,3,0,1,1,2,2,0,1,0.3268333333333331,0.10682002777777762,3.312400000000001
31,2,4,5,1,1,3,2,0,1,-2.6300000000000026,6.916900000000013,10.49759999999999
22,4,4,0,1,1,1,3,0,1,-1.7050833333333308,2.9073091736111025,4.410000000000006
45,3,4,6,1,1,2,4,0,1,4.981999999999999,24.820323999999992,8.381025000000019
42,3,4,10,1,0,3,2,0,1,-0.4299999999999997,0.18489999999999976,8.323224999999988
38,3,3,7,1,1,3,1,0,1,-0.7999999999999972,0.6399999999999955,2.402499999999991
47,1,1,6,1,0,3,1,0,1,3.3100000000000023,10.956100000000015,0.20250000000000257
30,4,4,2,1,1,1,4,0,1,-4.648484931734934,21.608412160566736,3.150624999999995
28,3,4,1,1,1,3,4,0,1,-0.5970000000000013,0.3564090000000016,18.748899999999985
25,3,4,1,1,1,2,1,0,1,1.1666666666666643,1.3611111111111056,8.0656
49,2,4,6,0,1,2,3,0,1,3.477499999999992,12.093006249999945,4.452099999999998
23,3,4,2,1,0,2,3,0,1,-2.8816666666666713,8.304002777777804,11.424399999999993
35,3,4,1,0,1,2,3,0,1,3.3175238095238093,11.005964226757369,5.569599999999998
47,2,1,5,0,1,2,4,0,1,4.289999999999999,18.404099999999993,0.0012249999999997612
35,2,3,0,1,1,2,4,0,1,6.190000000000001,38.31610000000001,10.43289999999998
44,3,4,6,1,1,3,4,0,1,2.732666666666667,7.4674671111111115,0.0004000000000001251
48,4,4,3,1,1,2,4,0,1,3.3516666666666595,11.233669444444397,95.355225
43,2,3,6,1,0,3,3,0,1,3.5,12.25,7.263025000000002
21,2,4,2,1,1,3,1,0,1,-1.8515000000000015,3.4280522500000057,4.995224999999998
22,4,4,0,1,1,1,4,0,1,-1.6829285714285689,2.8322485765306036,8.439025000000006
41,3,3,5,1,1,3,4,0,1,3.854999999999997,14.861024999999977,26.677224999999993
29,2,4,2,1,0,4,4,1,1,-1.7190000000000012,2.954961000000004,0.14439999999999925
44,4,4,5,0,1,2,4,0,1,0.6853333333333254,0.4696817777777668,12.496224999999976
22,4,4,0,1,0,1,4,0,1,-4.765455266955261,22.709563901351636,9.120399999999998
23,2,4,4,1,1,3,3,0,1,-4.960000000000001,24.60160000000001,3.7056250000000026
22,2,1,0,1,1,3,2,0,1,-0.8013333333333321,0.6421351111111092,0.8190250000000021
35,1,3,0,1,1,2,2,1,1,-1.6499999999999986,2.7224999999999953,111.61922500000003
24,4,4,1,1,1,2,2,0,1,-0.10316666666666663,0.010643361111111103,1.2432249999999965
36,4,4,4,1,1,1,4,0,1,-2.3032976190476333,5.305179921910496,10.176099999999986
47,1,2,2,1,1,2,4,0,1,1.5846428571428532,2.511092984693865,22.75290000000003
40,4,4,3,1,1,3,4,0,1,0.7133333333333383,0.5088444444444514,38.937600000000025
29,4,4,1,1,1,1,3,0,1,-0.556968253968261,0.3102136359284533,4.995224999999998
49,3,4,6,1,1,1,4,0,1,5.19666666666668,27.005344444444578,9.517225000000005
49,3,4,9,1,1,1,4,0,1,1.8903333333333308,3.5733601111111013,6.5792249999999886
47,4,4,2,1,1,1,4,0,1,12.351515068265066,152.55992448157897,2.739025000000004
28,4,4,3,0,1,1,4,0,1,-4.194333333333333,17.59243211111111,25.85722500000001
26,4,4,1,1,1,1,4,0,1,-6.813249960608701,46.420375025734465,0.0020250000000001534
29,1,2,7,1,1,2,4,0,1,-4.880000000000003,23.814400000000024,5.9292249999999935
29,4,2,0,1,0,2,2,0,1,-0.2950000000000017,0.087025000000001,2.6896000000000018
25,3,3,1,1,1,3,4,0,1,-0.7958333333333343,0.6333506944444459,0.13322499999999887
24,2,4,2,1,1,3,4,0,1,-7.58792857142857,57.57666000510202,0.34809999999999985
