cylinders,displacement,horsepower,weight,acceleration,model,origin,target,Residual_signed,Residual,Residual_CV
4,121.0,113.0,2234.0,12.5,70,2,26.0,0.8869999999999969,0.7867689999999945,0.36966400000000066
6,199.0,90.0,2648.0,15.0,70,1,21.0,0.129999999999999,0.01689999999999974,0.36481599999999476
8,360.0,215.0,4615.0,14.0,70,1,10.0,-0.5700000000000003,0.3249000000000003,2.772224999999997
8,307.0,200.0,4376.0,15.0,70,1,10.0,-0.9100000000000001,0.8281000000000003,1.4280250000000008
8,318.0,210.0,4382.0,13.5,70,1,11.0,-0.6799999999999997,0.4623999999999996,0.0323999999999999
8,304.0,193.0,4732.0,18.5,70,1,9.0,-0.7899999999999991,0.6240999999999987,3.2670562499999973
4,97.0,88.0,2130.0,14.5,71,3,27.0,-0.14000000000000057,0.01960000000000016,0.15999999999999887
4,140.0,90.0,2264.0,15.5,71,1,28.0,1.774000000000001,3.1470760000000033,0.3887522499999999
4,113.0,95.0,2228.0,14.0,71,3,25.0,0.21599999999999753,0.046655999999998934,0.951600249999959
4,98.0,,2046.0,19.0,71,1,25.0,-1.0749999999999993,1.1556249999999986,3.600000000000273e-05
6,232.0,100.0,2634.0,13.0,71,1,19.0,-0.4139999999999979,0.17139599999999827,0.02560000000000118
6,225.0,105.0,3439.0,15.5,71,1,16.0,-0.9790000000000028,0.9584410000000054,2.060660249999983
6,250.0,100.0,3329.0,15.5,71,1,17.0,-0.41000000000000014,0.1681000000000001,0.6585322499999923
6,250.0,88.0,3302.0,15.5,71,1,19.0,0.4499999999999993,0.20249999999999935,0.3124810000000091
6,232.0,100.0,3288.0,15.5,71,1,18.0,-0.07099999999999795,0.00504099999999971,0.17598025000000242
8,350.0,165.0,4209.0,12.0,71,1,14.0,0.21000000000000085,0.04410000000000036,0.11122224999999934
8,400.0,175.0,4464.0,11.5,71,1,14.0,0.3550000000000004,0.1260250000000003,0.2304000000000004
8,351.0,153.0,4154.0,13.5,71,1,14.0,-0.05000000000000071,0.002500000000000071,0.01625624999999987
8,318.0,150.0,4096.0,13.0,71,1,14.0,-0.25,0.0625,0.00330624999999991
8,383.0,180.0,4955.0,11.5,71,1,12.0,-0.16999999999999993,0.028899999999999974,0.1295999999999996
8,400.0,170.0,4746.0,12.0,71,1,13.0,0.019999999999999574,0.00039999999999998294,0.04410000000000036
8,400.0,175.0,5140.0,12.0,71,1,13.0,0.33999999999999986,0.1155999999999999,0.01102500000000009
6,258.0,110.0,2962.0,13.5,71,1,18.0,-0.3689999999999998,0.13616099999999984,0.00024024999999987137
4,140.0,72.0,2408.0,19.0,71,1,22.0,-0.22500000000000142,0.05062500000000064,3.35622399999999
6,250.0,100.0,3282.0,15.0,71,1,19.0,0.4440000000000026,0.1971360000000023,0.5632502500000036
6,250.0,88.0,3139.0,14.5,71,1,18.0,-0.2950000000000017,0.087025000000001,0.02958400000000143
4,122.0,86.0,2220.0,14.0,71,1,23.0,-0.7199999999999989,0.5183999999999984,0.905352249999992
4,116.0,90.0,2123.0,14.0,71,2,28.0,1.1999999999999993,1.4399999999999984,0.08526399999999885
4,79.0,70.0,2074.0,19.5,71,2,30.0,0.5199999999999996,0.27039999999999953,0.21715599999999768
4,88.0,76.0,2065.0,14.5,71,2,30.0,0.5949999999999989,0.35402499999999865,1.2265562500000038
4,71.0,65.0,1773.0,19.0,71,3,31.0,-0.6750000000000007,0.45562500000000095,1.9071610000000006
4,72.0,69.0,1613.0,18.0,71,3,35.0,1.6199999999999974,2.6243999999999916,1.588860250000001
4,97.0,60.0,1834.0,19.0,71,2,27.0,-0.18499999999999872,0.03422499999999953,1.1035502500000065
4,91.0,70.0,1955.0,20.5,71,1,26.0,-0.6350000000000016,0.403225000000002,1.094116000000006
4,113.0,95.0,2278.0,15.5,72,3,24.0,-0.23400000000000176,0.054756000000000825,0.00024025000000020176
4,97.5,80.0,2126.0,17.0,72,1,25.0,-0.5100000000000016,0.2601000000000016,0.1806250000000006
4,97.0,54.0,2254.0,23.5,72,2,23.0,-0.8000000000000007,0.6400000000000011,2.4351602500000036
4,140.0,90.0,2408.0,19.5,72,1,20.0,-0.5430000000000028,0.2948490000000031,5.2372322499999955
4,122.0,86.0,2226.0,16.5,72,1,21.0,-1.2199999999999989,1.4883999999999973,0.3014009999999994
8,350.0,165.0,4274.0,12.0,72,1,13.0,-0.3000000000000007,0.09000000000000043,0.5329000000000006
8,400.0,175.0,4385.0,12.0,72,1,14.0,0.3800000000000008,0.14440000000000058,0.00330624999999991
8,318.0,150.0,4135.0,13.5,72,1,15.0,0.39000000000000057,0.15210000000000046,0.027224999999999718
8,351.0,153.0,4129.0,13.0,72,1,14.0,-0.05000000000000071,0.002500000000000071,0.006400000000000012
8,304.0,150.0,3672.0,11.5,72,1,17.0,1.08,1.1664,0.019182249999998173
8,429.0,208.0,4633.0,11.0,72,1,11.0,-0.7599999999999998,0.5775999999999997,0.025600000000000046
8,350.0,155.0,4502.0,13.5,72,1,13.0,0.08999999999999986,0.008099999999999975,0.3599999999999996
8,350.0,160.0,4456.0,13.5,72,1,12.0,-0.5299999999999994,0.2808999999999993,0.4128062500000001
8,400.0,190.0,4422.0,12.5,72,1,13.0,-0.08000000000000007,0.006400000000000012,0.07289999999999977
3,70.0,97.0,2330.0,13.5,72,3,19.0,-1.1820000000000022,1.3971240000000051,4.0
8,304.0,150.0,3892.0,12.5,72,1,15.0,0.08500000000000085,0.007225000000000145,0.04515625000000015
8,307.0,130.0,4098.0,14.0,72,1,13.0,-0.5999999999999996,0.3599999999999996,0.18318399999999918
8,302.0,140.0,4294.0,16.0,72,1,13.0,-0.5449999999999999,0.29702499999999993,0.3030502499999995
8,318.0,150.0,4077.0,14.0,72,1,14.0,-0.08999999999999986,0.008099999999999975,6.249999999997513e-06
4,121.0,112.0,2933.0,14.5,72,2,18.0,-1.1799999999999997,1.3923999999999994,2.6390002500000036
4,121.0,76.0,2511.0,18.0,72,2,22.0,-0.6099999999999994,0.3720999999999993,2.1564922499999963
4,120.0,87.0,2979.0,19.5,72,2,21.0,0.10300000000000153,0.010609000000000316,3.245402250000003
4,96.0,69.0,2189.0,18.0,72,2,26.0,-0.07000000000000028,0.00490000000000004,2.8459689999999918
4,122.0,86.0,2395.0,16.0,72,1,22.0,-0.38500000000000156,0.14822500000000122,0.1853302500000018
4,97.0,92.0,2288.0,17.0,72,3,28.0,2.0380000000000003,4.153444000000001,11.289599999999972
4,120.0,97.0,2506.0,14.5,72,3,23.0,0.25900000000000034,0.06708100000000018,1.6473722499999819
4,98.0,80.0,2164.0,15.0,72,1,28.0,0.3949999999999996,0.15602499999999966,0.20475625000000053
4,97.0,88.0,2100.0,16.5,72,3,27.0,0.054999999999999716,0.0030249999999999687,0.024649000000001125
8,350.0,175.0,4100.0,13.0,73,1,13.0,-0.35999999999999943,0.1295999999999996,0.3875062500000006
8,304.0,150.0,3672.0,11.5,73,1,14.0,-0.5299999999999994,0.2808999999999993,0.08265624999999979
8,350.0,145.0,3988.0,13.0,73,1,13.0,-0.5950000000000006,0.35402500000000076,0.022500000000000107
8,302.0,137.0,4042.0,14.5,73,1,14.0,-0.04499999999999993,0.002024999999999994,0.9930122500000056
8,318.0,150.0,3777.0,12.5,73,1,15.0,0.33999999999999986,0.1155999999999999,0.0750760000000005
8,429.0,198.0,4952.0,11.5,73,1,12.0,-0.03999999999999915,0.0015999999999999318,0.30525625000000023
8,400.0,150.0,4464.0,12.0,73,1,13.0,-0.2699999999999996,0.07289999999999977,0.011556249999999985
8,351.0,158.0,4363.0,13.0,73,1,13.0,-0.30400000000000027,0.09241600000000016,0.1368999999999994
8,318.0,150.0,4237.0,14.5,73,1,14.0,-0.0600000000000005,0.0036000000000000597,0.016900000000000203
8,440.0,215.0,4735.0,11.0,73,1,13.0,0.4499999999999993,0.20249999999999935,0.15405625000000006
8,455.0,225.0,4951.0,11.0,73,1,12.0,-0.08999999999999986,0.008099999999999975,0.0015999999999999318
8,360.0,175.0,3821.0,11.0,73,1,13.0,-0.46499999999999986,0.21622499999999986,0.6520562499999988
6,225.0,105.0,3121.0,16.5,73,1,18.0,-0.3299999999999983,0.10889999999999887,0.0042902500000000145
6,250.0,100.0,3278.0,18.0,73,1,16.0,-0.3249999999999993,0.10562499999999954,3.1666202500000082
6,232.0,100.0,2945.0,16.0,73,1,18.0,-0.28999999999999915,0.08409999999999951,0.7030822499999997
6,250.0,88.0,3021.0,16.5,73,1,18.0,-0.25700000000000145,0.06604900000000075,0.4489000000000023
6,198.0,95.0,2904.0,16.0,73,1,23.0,0.8299999999999983,0.6888999999999972,1.41015625
4,97.0,46.0,1950.0,21.0,73,2,26.0,-0.3810000000000002,0.14516100000000018,0.7708840000000002
8,400.0,150.0,4997.0,14.0,73,1,11.0,-0.35999999999999943,0.1295999999999996,3.4317562499999967
8,400.0,167.0,4906.0,12.5,73,1,12.0,-0.15000000000000036,0.022500000000000107,0.30250000000000077
8,360.0,170.0,4654.0,13.0,73,1,13.0,0.09999999999999964,0.009999999999999929,0.05978025000000019
8,350.0,180.0,4499.0,12.5,73,1,12.0,-0.35999999999999943,0.1295999999999996,0.12249999999999975
6,232.0,100.0,2789.0,15.0,73,1,18.0,-0.49099999999999966,0.24108099999999966,0.7621289999999957
4,97.0,88.0,2279.0,19.0,73,3,20.0,-1.8000000000000007,3.2400000000000024,4.464769000000013
4,140.0,72.0,2401.0,19.5,73,1,21.0,-0.5769999999999982,0.3329289999999979,2.211168999999995
4,108.0,94.0,2379.0,16.5,73,3,22.0,-1.0100000000000016,1.0201000000000031,0.16524224999999232
3,70.0,90.0,2124.0,13.5,73,3,18.0,-3.6809999999999974,13.54976099999998,45.25252899999995
4,122.0,85.0,2310.0,18.5,73,1,19.0,-1.4320000000000022,2.050624000000006,4.274556249999996
6,155.0,107.0,2472.0,14.0,73,1,21.0,-0.019999999999999574,0.00039999999999998294,1.4665209999999793
4,98.0,90.0,2265.0,15.5,73,2,26.0,0.120000000000001,0.014400000000000239,0.024648999999997777
8,350.0,145.0,4082.0,13.0,73,1,15.0,0.5350000000000001,0.2862250000000002,0.2730062500000009
8,400.0,230.0,4278.0,9.5,73,1,16.0,1.08,1.1664,0.007482250000000157
4,68.0,49.0,1867.0,19.5,73,2,29.0,0.5690000000000026,0.32376100000000296,6.073760249999988
4,116.0,75.0,2158.0,15.5,73,2,24.0,-0.8850000000000016,0.7832250000000027,0.9535522500000029
4,114.0,91.0,2582.0,14.0,73,2,20.0,-0.8500000000000014,0.7225000000000024,7.717284000000013
4,121.0,112.0,2868.0,15.5,73,2,19.0,-0.9769999999999968,0.9545289999999936,1.472582249999991
8,318.0,150.0,3399.0,11.0,73,1,15.0,-0.402000000000001,0.16160400000000083,0.023870250000000162
4,121.0,110.0,2660.0,14.0,73,2,24.0,1.2250000000000014,1.5006250000000034,2.939510249999991
6,156.0,122.0,2807.0,13.5,73,3,20.0,0.0010000000000012221,1.0000000000024443e-06,0.44023224999999405
8,350.0,180.0,3664.0,11.0,73,1,11.0,-1.5549999999999997,2.418024999999999,4.689390249999999
6,198.0,95.0,3102.0,16.5,74,1,20.0,-0.28500000000000014,0.08122500000000007,1.6065562499999866
6,200.0,,2875.0,17.0,74,1,21.0,0.7920000000000016,0.6272640000000025,0.042642250000000784
6,232.0,100.0,2901.0,16.0,74,1,19.0,0.10900000000000176,0.011881000000000384,0.7482250000000035
6,250.0,100.0,3336.0,17.0,74,1,15.0,-1.024000000000001,1.048576000000002,6.098430249999983
4,79.0,67.0,1950.0,19.0,74,3,31.0,-0.054999999999999716,0.0030249999999999687,2.8968039999999937
4,122.0,80.0,2451.0,16.5,74,1,26.0,0.504999999999999,0.255024999999999,0.5292562499999988
4,71.0,65.0,1836.0,21.0,74,3,32.0,0.8049999999999997,0.6480249999999995,0.17139599999999533
4,140.0,75.0,2542.0,17.0,74,1,25.0,0.3249999999999993,0.10562499999999954,0.44222499999999887
6,250.0,100.0,3781.0,17.0,74,1,16.0,-0.129999999999999,0.01689999999999974,0.46036224999999953
6,258.0,110.0,3632.0,18.0,74,1,16.0,-0.015000000000000568,0.00022500000000001704,2.825760999999991
6,225.0,105.0,3613.0,16.5,74,1,18.0,0.05999999999999872,0.0035999999999998464,0.04687224999999842
8,302.0,140.0,4141.0,14.0,74,1,16.0,0.6600000000000001,0.4356000000000002,0.2097640000000018
8,350.0,150.0,4699.0,14.5,74,1,13.0,-0.21000000000000085,0.04410000000000036,0.25
8,318.0,150.0,4457.0,13.5,74,1,14.0,0.17999999999999972,0.0323999999999999,0.04410000000000036
8,302.0,140.0,4638.0,16.0,74,1,14.0,0.3100000000000005,0.09610000000000031,0.45968400000000353
8,304.0,150.0,4257.0,15.5,74,1,14.0,-0.005000000000000782,2.5000000000007818e-05,0.07700624999999992
4,98.0,83.0,2219.0,16.5,74,2,29.0,1.1900000000000013,1.416100000000003,0.08880400000000109
4,79.0,67.0,1963.0,15.5,74,2,26.0,-1.4499999999999993,2.102499999999998,8.889342250000023
4,97.0,78.0,2300.0,14.5,74,2,26.0,-0.14300000000000068,0.020449000000000196,0.1697439999999992
4,76.0,52.0,1649.0,16.5,74,3,31.0,-0.9609999999999985,0.9235209999999971,4.946175999999985
4,83.0,61.0,2003.0,19.0,74,3,32.0,0.35999999999999943,0.1295999999999996,1.1815689999999994
4,90.0,75.0,2125.0,14.5,74,1,28.0,0.620000000000001,0.38440000000000124,2.4822002500000053
4,90.0,75.0,2108.0,15.5,74,2,24.0,-1.7149999999999999,2.9412249999999993,1.7292250000000033
4,116.0,75.0,2246.0,14.0,74,2,26.0,-0.0019999999999988916,3.9999999999955664e-06,0.05569600000000031
4,120.0,97.0,2489.0,15.0,74,3,24.0,0.10999999999999943,0.012099999999999875,0.06051599999999934
4,108.0,93.0,2391.0,15.5,74,3,26.0,0.5599999999999987,0.31359999999999855,0.25704900000000147
4,79.0,67.0,2000.0,16.0,74,2,31.0,1.25,1.5625,3.8514062500000223
6,225.0,95.0,3264.0,16.0,75,1,19.0,-0.1999999999999993,0.039999999999999716,0.0018922500000004526
6,250.0,105.0,3459.0,16.0,75,1,18.0,0.254999999999999,0.06502499999999949,0.5967562499999959
6,250.0,72.0,3432.0,21.0,75,1,15.0,-0.9480000000000022,0.8987040000000042,1.8414489999999981
6,250.0,72.0,3158.0,19.5,75,1,15.0,-1.320999999999998,1.7450409999999945,4.853209000000013
8,400.0,170.0,4668.0,11.5,75,1,16.0,0.7300000000000004,0.5329000000000006,0.057121000000000366
8,350.0,145.0,4440.0,14.0,75,1,15.0,0.0649999999999995,0.004224999999999935,0.25
8,318.0,150.0,4498.0,14.5,75,1,16.0,0.6549999999999994,0.42902499999999916,0.01849599999999979
8,351.0,148.0,4657.0,13.5,75,1,14.0,-0.41000000000000014,0.1681000000000001,0.9409000000000013
6,231.0,110.0,3907.0,21.0,75,1,17.0,-0.30700000000000216,0.09424900000000133,0.1552359999999959
6,250.0,105.0,3897.0,18.5,75,1,16.0,-0.1460000000000008,0.021316000000000234,0.35940024999999887
6,258.0,110.0,3730.0,19.0,75,1,15.0,-0.5,0.25,3.5006409999999817
6,225.0,95.0,3785.0,19.0,75,1,18.0,0.0940000000000012,0.008836000000000224,9.99999999995339e-07
6,231.0,110.0,3039.0,15.0,75,1,21.0,0.637000000000004,0.4057690000000051,0.045795999999997894
8,262.0,110.0,3221.0,13.5,75,1,20.0,0.16999999999999815,0.02889999999999937,1.0030022500000002
8,302.0,129.0,3169.0,12.0,75,1,13.0,-2.0849999999999973,4.347224999999988,12.082575999999944
4,97.0,75.0,2171.0,16.0,75,3,29.0,0.6449999999999996,0.4160249999999994,0.24453024999999862
4,140.0,83.0,2639.0,17.0,75,1,23.0,-0.5719999999999992,0.32718399999999903,0.025280999999998527
6,232.0,100.0,2914.0,16.0,75,1,20.0,0.2789999999999999,0.07784099999999995,0.03609999999999913
4,140.0,78.0,2592.0,18.5,75,1,23.0,-0.013000000000001677,0.0001690000000000436,1.0020010000000381
4,134.0,96.0,2702.0,13.5,75,3,24.0,-0.03699999999999193,0.0013689999999994026,0.4166702500000025
4,90.0,71.0,2223.0,16.5,75,2,25.0,-0.8949999999999996,0.8010249999999992,0.22657599999999914
4,119.0,97.0,2545.0,17.0,75,3,24.0,0.030999999999998806,0.000960999999999926,0.0712890000000035
6,171.0,97.0,2984.0,14.5,75,1,18.0,-0.9179999999999993,0.8427239999999987,1.1109160000000118
4,90.0,70.0,1937.0,14.0,75,2,29.0,0.1750000000000007,0.03062500000000025,0.3052562499999983
6,232.0,90.0,3211.0,17.0,75,1,19.0,0.17199999999999704,0.029583999999998983,0.6988960000000035
4,115.0,95.0,2694.0,15.0,75,2,23.0,-0.2889999999999979,0.0835209999999988,0.12496225000000277
4,120.0,88.0,2957.0,17.0,75,2,23.0,0.4610000000000021,0.2125210000000019,0.05175625000000284
4,121.0,98.0,2945.0,14.5,75,2,22.0,0.3290000000000006,0.1082410000000004,0.5212839999999967
4,121.0,115.0,2671.0,13.5,75,2,25.0,1.2100000000000009,1.464100000000002,0.5148062499999915
4,91.0,53.0,1795.0,17.5,75,3,33.0,0.6049999999999969,0.3660249999999962,2.405600999999973
4,107.0,86.0,2464.0,15.5,76,2,28.0,1.0230000000000032,1.0465290000000067,0.0028090000000008403
4,116.0,81.0,2220.0,16.9,76,2,25.0,-0.15399999999999991,0.023715999999999973,0.5005562499999994
4,140.0,92.0,2572.0,14.9,76,1,25.0,0.4009999999999998,0.16080099999999983,0.13249599999999798
4,98.0,79.0,2255.0,17.7,76,1,26.0,0.07099999999999795,0.00504099999999971,0.003481000000000124
4,101.0,83.0,2202.0,15.3,76,2,27.0,-0.4400000000000013,0.19360000000000113,1.2210250000000087
8,305.0,140.0,4215.0,13.0,76,1,17.5,0.6900000000000013,0.47610000000000174,1.9168402499999977
8,318.0,150.0,4190.0,13.0,76,1,16.0,0.41499999999999915,0.1722249999999993,0.6905609999999992
8,304.0,120.0,3962.0,13.9,76,1,15.5,-0.7779999999999987,0.6052839999999979,1.2678759999999627
8,351.0,152.0,4215.0,12.8,76,1,14.5,-0.33000000000000007,0.10890000000000005,0.7267562499999985
6,225.0,100.0,3233.0,15.4,76,1,22.0,0.7280000000000015,0.5299840000000022,0.80460900000001
6,250.0,105.0,3353.0,14.5,76,1,22.0,1.221,1.4908410000000003,0.017822249999998506
6,200.0,81.0,3012.0,17.6,76,1,24.0,1.4510000000000005,2.1054010000000014,2.442968999999996
6,232.0,90.0,3085.0,17.6,76,1,22.5,1.1949999999999967,1.428024999999992,0.1776622500000075
4,85.0,52.0,2035.0,22.2,76,1,29.0,-0.2010000000000005,0.04040100000000021,0.6123062499999983
4,98.0,60.0,2164.0,22.1,76,1,24.5,-0.9299999999999997,0.8648999999999994,2.8510322500000163
4,90.0,70.0,1937.0,14.2,76,2,29.0,-0.02499999999999858,0.000624999999999929,0.013806249999999933
4,91.0,53.0,1795.0,17.4,76,3,33.0,0.5600000000000023,0.31360000000000254,1.9530062499999628
6,225.0,100.0,3651.0,17.7,76,1,20.0,0.5380000000000003,0.28944400000000026,0.2555302499999978
6,250.0,78.0,3574.0,21.0,76,1,18.0,0.02499999999999858,0.000624999999999929,0.0006250000000002842
6,250.0,110.0,3645.0,16.2,76,1,18.5,0.1529999999999987,0.0234089999999996,0.01689999999999974
6,258.0,95.0,3193.0,17.8,76,1,17.5,-0.9879999999999995,0.9761439999999991,0.07952399999999801
4,97.0,71.0,1825.0,12.2,76,2,29.5,0.08500000000000085,0.007225000000000145,0.7174089999999962
4,85.0,70.0,1990.0,17.0,76,3,32.0,-0.07000000000000028,0.00490000000000004,5.946282249999971
4,97.0,75.0,2155.0,16.4,76,3,28.0,0.030000000000001137,0.0009000000000000682,2.4999999999990054e-05
4,140.0,72.0,2565.0,13.6,76,1,26.5,0.7749999999999986,0.6006249999999977,0.025600000000000046
4,130.0,102.0,3150.0,15.7,76,2,20.0,-0.26399999999999935,0.06969599999999966,1.3432809999999893
8,318.0,150.0,3940.0,13.2,76,1,13.0,-0.5970000000000013,0.3564090000000016,0.9428409999999967
4,120.0,88.0,3270.0,21.9,76,2,19.0,-1.3249999999999993,1.7556249999999982,1.0393802500000087
6,156.0,108.0,2930.0,15.5,76,3,19.0,-0.34800000000000253,0.12110400000000177,1.479872249999974
6,168.0,120.0,3820.0,16.7,76,2,16.5,-0.7360000000000007,0.541696000000001,0.15171024999999858
8,350.0,180.0,4380.0,12.1,76,1,16.5,0.8059999999999992,0.6496359999999987,0.5033902499999978
8,350.0,145.0,4055.0,12.0,76,1,13.0,-1.08,1.1664,0.29757024999999865
8,302.0,130.0,3870.0,15.0,76,1,13.0,-1.0999999999999996,1.2099999999999993,2.070720999999995
8,318.0,150.0,3755.0,14.0,76,1,13.0,-0.6490000000000009,0.42120100000000116,1.7397609999999974
4,98.0,68.0,2045.0,18.5,77,3,31.5,0.5949999999999989,0.35402499999999865,1.5575040000000115
4,111.0,80.0,2155.0,14.8,77,1,30.0,0.4800000000000004,0.2304000000000004,0.2894440000000079
4,79.0,58.0,1825.0,18.6,77,2,36.0,2.1980000000000004,4.831204000000001,8.590760999999901
4,122.0,96.0,2300.0,15.5,77,1,25.5,-0.08999999999999986,0.008099999999999975,0.22090000000001564
4,85.0,70.0,1945.0,16.8,77,3,33.5,0.6929999999999978,0.480248999999997,1.274640999999979
8,305.0,145.0,3880.0,12.5,77,1,17.5,0.5059999999999967,0.25603599999999666,0.5513062499999943
8,260.0,110.0,4060.0,19.0,77,1,17.0,-0.17299999999999827,0.0299289999999994,0.10627600000000496
8,318.0,145.0,4140.0,13.7,77,1,15.5,-0.062000000000001165,0.0038440000000001446,0.27931225000000115
8,302.0,130.0,4295.0,14.9,77,1,15.0,-0.21700000000000053,0.04708900000000023,1.5737702500000093
6,250.0,110.0,3520.0,16.4,77,1,17.5,-0.5719999999999992,0.32718399999999903,0.054756000000005814
6,231.0,105.0,3425.0,16.9,77,1,20.5,0.41899999999999693,0.17556099999999744,2.4999999999990054e-05
6,225.0,100.0,3630.0,17.7,77,1,19.0,-0.2240000000000002,0.05017600000000009,1.2166090000000425
6,250.0,98.0,3525.0,19.0,77,1,18.5,0.2469999999999999,0.061008999999999945,0.10048899999999786
8,400.0,180.0,4220.0,11.1,77,1,16.0,0.15000000000000036,0.022500000000000107,0.07022499999999747
8,350.0,170.0,4165.0,11.4,77,1,15.5,-0.08000000000000007,0.006400000000000012,0.0029160000000000292
8,400.0,190.0,4325.0,12.2,77,1,15.5,-0.2240000000000002,0.05017600000000009,0.6715802499999994
8,351.0,149.0,4335.0,14.5,77,1,16.0,0.1750000000000007,0.03062500000000025,0.0017639999999992384
4,97.0,78.0,1940.0,14.5,77,2,29.0,-0.754999999999999,0.5700249999999984,0.7216502500000044
4,151.0,88.0,2740.0,16.0,77,1,24.5,-0.17499999999999716,0.030624999999999004,0.02689599999999932
4,97.0,75.0,2265.0,18.2,77,3,26.0,-0.4269999999999996,0.18232899999999966,2.5824490000000093
4,140.0,89.0,2755.0,15.8,77,1,25.5,0.5120000000000076,0.26214400000000776,0.3751562499999878
4,98.0,63.0,2051.0,17.0,77,1,30.5,-0.10500000000000043,0.01102500000000009,0.3510562499999887
4,98.0,83.0,2075.0,15.9,77,1,33.5,1.4849999999999994,2.205224999999998,4.826809000000027
4,97.0,67.0,1985.0,16.4,77,3,30.0,-0.47899999999999565,0.22944099999999584,0.005775999999998998
4,97.0,78.0,2190.0,14.1,77,2,30.5,0.6460000000000008,0.417316000000001,0.028900000000002996
6,146.0,97.0,2815.0,14.5,77,3,22.0,0.25400000000000134,0.06451600000000068,1.0983039999999964
4,121.0,110.0,2600.0,12.8,77,2,21.5,-0.8410000000000046,0.7072810000000078,0.08584899999999332
3,80.0,110.0,2720.0,13.5,77,3,21.5,-0.33100000000000307,0.10956100000000203,13.764099999999953
4,90.0,48.0,1985.0,21.5,78,2,43.1,2.92500000000004,8.555625000000234,19.302842250000214
4,98.0,66.0,1800.0,14.4,78,1,36.1,0.9440000000000452,0.8911360000000854,1.1130250000000295
4,78.0,52.0,1985.0,19.4,78,3,32.8,-2.0920000000000414,4.3764640000001735,5.257848999999866
4,85.0,70.0,2070.0,18.6,78,3,39.4,2.3329999999999487,5.44288899999976,5.7336302499999015
4,91.0,60.0,1800.0,16.4,78,3,36.1,0.6960000000000406,0.4844160000000565,3.6729722500000515
8,260.0,110.0,3365.0,15.5,78,1,19.9,0.005999999999971806,3.599999999966167e-05,0.40195600000003195
8,318.0,140.0,3735.0,13.2,78,1,19.4,0.533999999999974,0.28515599999997226,1.7969402500000726
8,302.0,139.0,3570.0,12.8,78,1,20.2,0.765999999999984,0.5867559999999755,1.6744359999999736
6,231.0,105.0,3535.0,19.2,78,1,19.2,-0.08300000000001262,0.006889000000002095,0.30858025000003786
6,200.0,95.0,3155.0,18.2,78,1,20.5,0.272000000000002,0.0739840000000011,0.1652422500000154
6,200.0,85.0,2965.0,15.8,78,1,20.2,-0.6450000000000067,0.41602500000000864,0.6021759999999501
4,140.0,88.0,2720.0,15.4,78,1,25.1,0.0910000000000295,0.00828100000000537,0.5069439999999592
